demojized,description
:couple_with_heart_woman_woman_dark_skin_tone_medium-dark_skin_tone:,"couple, couple with heart, dark skin tone, love, medium-dark skin tone, woman, couple, with, heart:, woman,, woman,, dark, skin, tone,, medium-dark, skin, tone"
:couple_with_heart_woman_woman_dark_skin_tone:,"couple, couple with heart, dark skin tone, love, woman, couple, with, heart:, woman,, woman,, dark, skin, tone"
:family:,"family, family"
:family_man_woman_boy:,"boy, family, man, woman, family:, man,, woman,, boy"
:family_man_woman_girl:,"family, girl, man, woman, family:, man,, woman,, girl"
:family_man_woman_girl_boy:,"boy, family, girl, man, woman, family:, man,, woman,, girl,, boy"
:family_man_woman_boy_boy:,"boy, family, man, woman, family:, man,, woman,, boy,, boy"
:family_man_woman_girl_girl:,"family, girl, man, woman, family:, man,, woman,, girl,, girl"
:family_man_man_boy:,"boy, family, man, family:, man,, man,, boy"
:family_man_man_girl:,"family, girl, man, family:, man,, man,, girl"
:family_man_man_girl_boy:,"boy, family, girl, man, family:, man,, man,, girl,, boy"
:family_man_man_boy_boy:,"boy, family, man, family:, man,, man,, boy,, boy"
:family_man_man_girl_girl:,"family, girl, man, family:, man,, man,, girl,, girl"
:family_woman_woman_boy:,"boy, family, woman, family:, woman,, woman,, boy"
:family_woman_woman_girl:,"family, girl, woman, family:, woman,, woman,, girl"
:family_woman_woman_girl_boy:,"boy, family, girl, woman, family:, woman,, woman,, girl,, boy"
:family_woman_woman_boy_boy:,"boy, family, woman, family:, woman,, woman,, boy,, boy"
:family_woman_woman_girl_girl:,"family, girl, woman, family:, woman,, woman,, girl,, girl"
:family_man_boy:,"boy, family, man, family:, man,, boy"
:family_man_boy_boy:,"boy, family, man, family:, man,, boy,, boy"
:family_man_girl:,"family, girl, man, family:, man,, girl"
:family_man_girl_boy:,"boy, family, girl, man, family:, man,, girl,, boy"
:family_man_girl_girl:,"family, girl, man, family:, man,, girl,, girl"
:family_woman_boy:,"boy, family, woman, family:, woman,, boy"
:family_woman_boy_boy:,"boy, family, woman, family:, woman,, boy,, boy"
:family_woman_girl:,"family, girl, woman, family:, woman,, girl"
:family_woman_girl_boy:,"boy, family, girl, woman, family:, woman,, girl,, boy"
:family_woman_girl_girl:,"family, girl, woman, family:, woman,, girl,, girl"
:speaking_head:,"face, head, silhouette, speak, speaking, speaking, head"
:bust_in_silhouette:,"bust, bust in silhouette, silhouette, bust, in, silhouette"
:busts_in_silhouette:,"bust, busts in silhouette, silhouette, busts, in, silhouette"
:people_hugging:,"goodbye, hello, hug, people hugging, thanks, people, hugging"
:footprints:,"clothing, footprint, footprints, print, footprints"
:monkey_face:,"face, monkey, monkey, face"
:monkey:,"monkey, monkey"
:gorilla:,"gorilla, gorilla"
:orangutan:,"ape, orangutan, orangutan"
:dog_face:,"dog, face, pet, dog, face"
:dog:,"dog, pet, dog"
:guide_dog:,"accessibility, blind, guide, guide dog, guide, dog"
:service_dog:,"accessibility, assistance, dog, service, service, dog"
:poodle:,"dog, poodle, poodle"
:wolf:,"face, wolf, wolf"
:fox:,"face, fox, fox"
:raccoon:,"curious, raccoon, sly, raccoon"
:cat_face:,"cat, face, pet, cat, face"
:cat:,"cat, pet, cat"
:black_cat:,"black, cat, unlucky, black, cat"
:lion:,"face, Leo, lion, zodiac, lion"
:tiger_face:,"face, tiger, tiger, face"
:tiger:,"tiger, tiger"
:leopard:,"leopard, leopard"
:horse_face:,"face, horse, horse, face"
:moose:,"animal, antlers, elk, mammal, moose, moose"
:donkey:,"animal, ass, burro, donkey, mammal, mule, stubborn, donkey"
:horse:,"equestrian, horse, racehorse, racing, horse"
:unicorn:,"face, unicorn, unicorn"
:zebra:,"stripe, zebra, zebra"
:deer:,"deer, deer"
:bison:,"bison, buffalo, herd, wisent, bison"
:cow_face:,"cow, face, cow, face"
:ox:,"bull, ox, Taurus, zodiac, ox"
:water_buffalo:,"buffalo, water, water, buffalo"
:cow:,"cow, cow"
:pig_face:,"face, pig, pig, face"
:pig:,"pig, sow, pig"
:boar:,"boar, pig, boar"
:pig_nose:,"face, nose, pig, pig, nose"
:ram:,"Aries, male, ram, sheep, zodiac, ram"
:ewe:,"ewe, female, sheep, ewe"
:goat:,"Capricorn, goat, zodiac, goat"
:camel:,"camel, dromedary, hump, camel"
:two-hump_camel:,"bactrian, camel, hump, two-hump camel, two-hump, camel"
:llama:,"alpaca, guanaco, llama, vicuña, wool, llama"
:giraffe:,"giraffe, spots, giraffe"
:elephant:,"elephant, elephant"
:mammoth:,"extinction, large, mammoth, tusk, woolly, mammoth"
:rhinoceros:,"rhinoceros, rhinoceros"
:hippopotamus:,"hippo, hippopotamus, hippopotamus"
:mouse_face:,"face, mouse, mouse, face"
:mouse:,"mouse, mouse"
:rat:,"rat, rat"
:hamster:,"face, hamster, pet, hamster"
:rabbit_face:,"bunny, face, pet, rabbit, rabbit, face"
:rabbit:,"bunny, pet, rabbit, rabbit"
:chipmunk:,"chipmunk, squirrel, chipmunk"
:beaver:,"beaver, dam, beaver"
:hedgehog:,"hedgehog, spiny, hedgehog"
:bat:,"bat, vampire, bat"
:bear:,"bear, face, bear"
:polar_bear:,"arctic, bear, polar bear, white, polar, bear"
:koala:,"face, koala, marsupial, koala"
:panda:,"face, panda, panda"
:sloth:,"lazy, sloth, slow, sloth"
:otter:,"fishing, otter, playful, otter"
:skunk:,"skunk, stink, skunk"
:kangaroo:,"joey, jump, kangaroo, marsupial, kangaroo"
:badger:,"badger, honey badger, pester, badger"
:paw_prints:,"feet, paw, paw prints, print, paw, prints"
:turkey:,"bird, turkey, turkey"
:chicken:,"bird, chicken, chicken"
:rooster:,"bird, rooster, rooster"
:hatching_chick:,"baby, bird, chick, hatching, hatching, chick"
:baby_chick:,"baby, bird, chick, baby, chick"
:front-facing_baby_chick:,"baby, bird, chick, front-facing baby chick, front-facing, baby, chick"
:bird:,"bird, bird"
:penguin:,"bird, penguin, penguin"
:dove:,"bird, dove, fly, peace, dove"
:eagle:,"bird, eagle, eagle"
:duck:,"bird, duck, duck"
:swan:,"bird, cygnet, swan, ugly duckling, swan"
:owl:,"bird, owl, wise, owl"
:dodo:,"dodo, extinction, large, Mauritius, dodo"
:feather:,"bird, feather, flight, light, plumage, feather"
:flamingo:,"flamboyant, flamingo, tropical, flamingo"
:peacock:,"bird, ostentatious, peacock, peahen, proud, peacock"
:parrot:,"bird, parrot, pirate, talk, parrot"
:wing:,"angelic, aviation, bird, flying, mythology, wing, wing"
:black_bird:,"bird, black, crow, raven, rook, black, bird"
:goose:,"bird, fowl, goose, honk, silly, goose"
:frog:,"face, frog, frog"
:crocodile:,"crocodile, crocodile"
:turtle:,"terrapin, tortoise, turtle, turtle"
:lizard:,"lizard, reptile, lizard"
:snake:,"bearer, Ophiuchus, serpent, snake, zodiac, snake"
:dragon_face:,"dragon, face, fairy tale, dragon, face"
:dragon:,"dragon, fairy tale, dragon"
:sauropod:,"brachiosaurus, brontosaurus, diplodocus, sauropod, sauropod"
:T-Rex:,"T-Rex, Tyrannosaurus Rex, T-Rex"
:spouting_whale:,"face, spouting, whale, spouting, whale"
:whale:,"whale, whale"
:dolphin:,"dolphin, flipper, dolphin"
:seal:,"sea lion, seal, seal"
:fish:,"fish, Pisces, zodiac, fish"
:tropical_fish:,"fish, tropical, tropical, fish"
:blowfish:,"blowfish, fish, blowfish"
:shark:,"fish, shark, shark"
:octopus:,"octopus, octopus"
:spiral_shell:,"shell, spiral, spiral, shell"
:coral:,"coral, ocean, reef, coral"
:jellyfish:,"burn, invertebrate, jelly, jellyfish, marine, ouch, stinger, jellyfish"
:snail:,"snail, snail"
:butterfly:,"butterfly, insect, pretty, butterfly"
:bug:,"bug, insect, bug"
:ant:,"ant, insect, ant"
:honeybee:,"bee, honeybee, insect, honeybee"
:beetle:,"beetle, bug, insect, beetle"
:lady_beetle:,"beetle, insect, lady beetle, ladybird, ladybug, lady, beetle"
:cricket:,"cricket, grasshopper, cricket"
:cockroach:,"cockroach, insect, pest, roach, cockroach"
:spider:,"insect, spider, spider"
:spider_web:,"spider, web, spider, web"
:scorpion:,"scorpio, Scorpio, scorpion, zodiac, scorpion"
:mosquito:,"disease, fever, malaria, mosquito, pest, virus, mosquito"
:fly:,"disease, fly, maggot, pest, rotting, fly"
:worm:,"annelid, earthworm, parasite, worm, worm"
:microbe:,"amoeba, bacteria, microbe, virus, microbe"
:bouquet:,"bouquet, flower, bouquet"
:cherry_blossom:,"blossom, cherry, flower, cherry, blossom"
:white_flower:,"flower, white flower, white, flower"
:lotus:,"Buddhism, flower, Hinduism, lotus, purity, lotus"
:rosette:,"plant, rosette, rosette"
:rose:,"flower, rose, rose"
:wilted_flower:,"flower, wilted, wilted, flower"
:hibiscus:,"flower, hibiscus, hibiscus"
:sunflower:,"flower, sun, sunflower, sunflower"
:blossom:,"blossom, flower, blossom"
:tulip:,"flower, tulip, tulip"
:hyacinth:,"bluebonnet, flower, hyacinth, lavender, lupine, snapdragon, hyacinth"
:seedling:,"seedling, young, seedling"
:potted_plant:,"boring, grow, house, nurturing, plant, potted plant, useless, potted, plant"
:evergreen_tree:,"evergreen tree, tree, evergreen, tree"
:deciduous_tree:,"deciduous, shedding, tree, deciduous, tree"
:palm_tree:,"palm, tree, palm, tree"
:cactus:,"cactus, plant, cactus"
:sheaf_of_rice:,"ear, grain, rice, sheaf of rice, sheaf, of, rice"
:herb:,"herb, leaf, herb"
:shamrock:,"plant, shamrock, shamrock"
:four_leaf_clover:,"4, clover, four, four-leaf clover, leaf, four, leaf, clover"
:maple_leaf:,"falling, leaf, maple, maple, leaf"
:fallen_leaf:,"fallen leaf, falling, leaf, fallen, leaf"
:leaf_fluttering_in_wind:,"blow, flutter, leaf, leaf fluttering in wind, wind, leaf, fluttering, in, wind"
:empty_nest:,"empty nest, nesting, empty, nest"
:nest_with_eggs:,"nest with eggs, nesting, nest, with, eggs"
:mushroom:,"mushroom, toadstool, mushroom"
:grapes:,"fruit, grape, grapes, grapes"
:melon:,"fruit, melon, melon"
:watermelon:,"fruit, watermelon, watermelon"
:tangerine:,"fruit, orange, tangerine, tangerine"
:lemon:,"citrus, fruit, lemon, lemon"
:banana:,"banana, fruit, banana"
:pineapple:,"fruit, pineapple, pineapple"
:mango:,"fruit, mango, tropical, mango"
:red_apple:,"apple, fruit, red, red, apple"
:green_apple:,"apple, fruit, green, green, apple"
:pear:,"fruit, pear, pear"
:peach:,"fruit, peach, peach"
:cherries:,"berries, cherries, cherry, fruit, red, cherries"
:strawberry:,"berry, fruit, strawberry, strawberry"
:blueberries:,"berry, bilberry, blue, blueberries, blueberry, blueberries"
:kiwi_fruit:,"food, fruit, kiwi, kiwi, fruit"
:tomato:,"fruit, tomato, vegetable, tomato"
:olive:,"food, olive, olive"
:coconut:,"coconut, palm, piña colada, coconut"
:avocado:,"avocado, food, fruit, avocado"
:eggplant:,"aubergine, eggplant, vegetable, eggplant"
:potato:,"food, potato, vegetable, potato"
:carrot:,"carrot, food, vegetable, carrot"
:ear_of_corn:,"corn, ear, ear of corn, maize, maze, ear, of, corn"
:hot_pepper:,"hot, pepper, hot, pepper"
:bell_pepper:,"bell pepper, capsicum, pepper, vegetable, bell, pepper"
:cucumber:,"cucumber, food, pickle, vegetable, cucumber"
:leafy_green:,"bok choy, cabbage, kale, leafy green, lettuce, leafy, green"
:broccoli:,"broccoli, wild cabbage, broccoli"
:garlic:,"flavoring, garlic, garlic"
:onion:,"flavoring, onion, onion"
:peanuts:,"food, nut, peanut, peanuts, vegetable, peanuts"
:beans:,"beans, food, kidney, legume, beans"
:chestnut:,"chestnut, plant, chestnut"
:ginger_root:,"beer, ginger root, root, spice, ginger, root"
:pea_pod:,"beans, edamame, legume, pea, pod, vegetable, pea, pod"
:bread:,"bread, loaf, bread"
:croissant:,"bread, breakfast, croissant, food, french, roll, croissant"
:baguette_bread:,"baguette, bread, food, french, baguette, bread"
:flatbread:,"arepa, flatbread, lavash, naan, pita, flatbread"
:pretzel:,"pretzel, twisted, pretzel"
:bagel:,"bagel, bakery, breakfast, schmear, bagel"
:pancakes:,"breakfast, crêpe, food, hotcake, pancake, pancakes, pancakes"
:waffle:,"breakfast, indecisive, iron, waffle, waffle"
:cheese_wedge:,"cheese, cheese wedge, cheese, wedge"
:meat_on_bone:,"bone, meat, meat on bone, meat, on, bone"
:poultry_leg:,"bone, chicken, drumstick, leg, poultry, poultry, leg"
:cut_of_meat:,"chop, cut of meat, lambchop, porkchop, steak, cut, of, meat"
:bacon:,"bacon, breakfast, food, meat, bacon"
:hamburger:,"burger, hamburger, hamburger"
:french_fries:,"french, fries, french, fries"
:pizza:,"cheese, pizza, slice, pizza"
:hot_dog:,"frankfurter, hot dog, hotdog, sausage, hot, dog"
:sandwich:,"bread, sandwich, sandwich"
:taco:,"mexican, taco, taco"
:burrito:,"burrito, mexican, wrap, burrito"
:tamale:,"mexican, tamale, wrapped, tamale"
:stuffed_flatbread:,"falafel, flatbread, food, gyro, kebab, stuffed, stuffed, flatbread"
:falafel:,"chickpea, falafel, meatball, falafel"
:egg:,"breakfast, egg, food, egg"
:cooking:,"breakfast, cooking, egg, frying, pan, cooking"
:shallow_pan_of_food:,"casserole, food, paella, pan, shallow, shallow pan of food, shallow, pan, of, food"
:pot_of_food:,"pot, pot of food, stew, pot, of, food"
:fondue:,"cheese, chocolate, fondue, melted, pot, Swiss, fondue"
:bowl_with_spoon:,"bowl with spoon, breakfast, cereal, congee, bowl, with, spoon"
:green_salad:,"food, green, salad, green, salad"
:popcorn:,"popcorn, popcorn"
:butter:,"butter, dairy, butter"
:salt:,"condiment, salt, shaker, salt"
:canned_food:,"can, canned food, canned, food"
:bento_box:,"bento, box, bento, box"
:rice_cracker:,"cracker, rice, rice, cracker"
:rice_ball:,"ball, Japanese, rice, rice, ball"
:cooked_rice:,"cooked, rice, cooked, rice"
:curry_rice:,"curry, rice, curry, rice"
:steaming_bowl:,"bowl, noodle, ramen, steaming, steaming, bowl"
:spaghetti:,"pasta, spaghetti, spaghetti"
:roasted_sweet_potato:,"potato, roasted, sweet, roasted, sweet, potato"
:oden:,"kebab, oden, seafood, skewer, stick, oden"
:sushi:,"sushi, sushi"
:fried_shrimp:,"fried, prawn, shrimp, tempura, fried, shrimp"
:fish_cake_with_swirl:,"cake, fish, fish cake with swirl, pastry, swirl, fish, cake, with, swirl"
:moon_cake:,"autumn, festival, moon cake, yuèbǐng, moon, cake"
:dango:,"dango, dessert, Japanese, skewer, stick, sweet, dango"
:dumpling:,"dumpling, empanada, gyōza, jiaozi, pierogi, potsticker, dumpling"
:fortune_cookie:,"fortune cookie, prophecy, fortune, cookie"
:takeout_box:,"oyster pail, takeout box, takeout, box"
:crab:,"Cancer, crab, zodiac, crab"
:lobster:,"bisque, claws, lobster, seafood, lobster"
:shrimp:,"food, shellfish, shrimp, small, shrimp"
:squid:,"food, molusc, squid, squid"
:oyster:,"diving, oyster, pearl, oyster"
:soft_ice_cream:,"cream, dessert, ice, icecream, soft, sweet, soft, ice, cream"
:shaved_ice:,"dessert, ice, shaved, sweet, shaved, ice"
:ice_cream:,"cream, dessert, ice, sweet, ice, cream"
:doughnut:,"breakfast, dessert, donut, doughnut, sweet, doughnut"
:cookie:,"cookie, dessert, sweet, cookie"
:birthday_cake:,"birthday, cake, celebration, dessert, pastry, sweet, birthday, cake"
:shortcake:,"cake, dessert, pastry, shortcake, slice, sweet, shortcake"
:cupcake:,"bakery, cupcake, sweet, cupcake"
:pie:,"filling, pastry, pie, pie"
:chocolate_bar:,"bar, chocolate, dessert, sweet, chocolate, bar"
:candy:,"candy, dessert, sweet, candy"
:lollipop:,"candy, dessert, lollipop, sweet, lollipop"
